572800
54 DATA: {'roll': '-25.54', 'pitch': '2.67', 'yaw': '52.74', 'AccX': '-0.32', 'AccY': '-0.56', 'AccZ': '0.88', 'millis': '593311'}
55 DATA: {'roll': '-5.03', 'pitch': '1.85', 'yaw': '44.84', 'AccX': '-0.32', 'AccY': '-0.40', 'AccZ': '0.70', 'millis': '593413'}
56 DATA: {'roll': '-16.06', 'pitch': '3.29', 'yaw': '31.58', 'AccX': '-0.19', 'AccY': '-0.28', 'AccZ': '0.31', 'millis': '593513'}
57 DATA: {'roll': '-7.82', 'pitch': '-8.62', 'yaw': '-29.88', 'AccX': '0.95', 'AccY': '-0.07', 'AccZ': '-0.28', 'millis': '4488'}
58 DATA: {'roll': '88.61', 'pitch': '31.72', 'yaw': '44.07', 'AccX': '1.44', 'AccY': '-0.51', 'AccZ': '0.02', 'millis': '595111'}
59 DATA: {'roll': '34.93', 'pitch': '19.11', 'yaw': '104.14', 'AccX': '0.54', 'AccY': '-0.46', 'AccZ': '-0.07', 'millis': '595362'}
60 DATA: {'roll': '-5.04', 'pitch': '-10.28', 'yaw': '143.89', 'AccX': '-0.33', 'AccY': '0.01', 'AccZ': '0.36', 'millis': '595562'}
61 DATA: {'roll': '2.71', 'pitch': '-3.40', 'yaw': '142.56', 'AccX': '-0.33', 'AccY': '0.18', 'AccZ': '0.75', 'millis': '595762'}
62 DATA: {'roll': '-4.76', 'pitch': '2.93', 'yaw': '138.66', 'AccX': '-0.49', 'AccY': '-0.07', 'AccZ': '0.65', 'millis': '595961'}
63 DATA: {'roll': '-33.57', 'pitch': '-38.46', 'yaw': '136.23', 'AccX': '-0.49', 'AccY': '-0.23', 'AccZ': '0.93', 'millis': '596162'}
64 DATA: {'roll': '-28.96', 'pitch': '10.14', 'yaw': '92.94', 'AccX': '-0.16', 'AccY': '-0.50', 'AccZ': '0.58', 'millis': '596462'}
65 DATA: {'roll': '-21.64', 'pitch': '-8.22', 'yaw': '27.70', 'AccX': '0.70', 'AccY': '-0.42', 'AccZ': '-0.15', 'millis': '596712'}
66 DATA: {'roll': '-33.11', 'pitch': '-22.55', 'yaw': '17.17', 'AccX': '2.01', 'AccY': '-0.28', 'AccZ': '-0.56', 'millis': '7088'}
67 DATA: {'roll': '287.22', 'pitch': '-7.98', 'yaw': '304.58', 'AccX': '0.74', 'AccY': '-1.13', 'AccZ': '-0.45', 'millis': '598112'}
68 DATA: {'roll': '11.65', 'pitch': '-10.11', 'yaw': '-310.89', 'AccX': '-0.45', 'AccY': '0.09', 'AccZ': '0.46', 'millis': '598362'}
69 DATA: {'roll': '-5.46', 'pitch': '-6.18', 'yaw': '-319.39', 'AccX': '-0.31', 'AccY': '0.10', 'AccZ': '0.74', 'millis': '598662'}
70 DATA: {'roll': '-15.14', 'pitch': '-21.52', 'yaw': '319.34', 'AccX': '-0.62', 'AccY': '-0.07', 'AccZ': '0.71', 'millis': '598913'}
71 DATA: {'roll': '-12.81', 'pitch': '-34.42', 'yaw': '315.32', 'AccX': '-0.13', 'AccY': '-0.53', 'AccZ': '0.83', 'millis': '9288'}
72 DATA: {'roll': '47.67', 'pitch': '7.10', 'yaw': '296.56', 'AccX': '0.95', 'AccY': '-0.10', 'AccZ': '-0.26', 'millis': '600262'}
73 DATA: {'roll': '-1.24', 'pitch': '-6.35', 'yaw': '293.05', 'AccX': '0.98', 'AccY': '-0.09', 'AccZ': '-0.25', 'millis': '600512'}
74 DATA: {'roll': '9.65', 'pitch': '-7.31', 'yaw': '290.87', 'AccX': '1.17', 'AccY': '-0.41', 'AccZ': '-0.28', 'millis': '600713'}
75 DATA: {'roll': '20.81', 'pitch': '-6.77', 'yaw': '-304.90', 'AccX': '1.32', 'AccY': '-1.25', 'AccZ': '-0.39', 'millis': '600962'}
76 DATA: {'roll': '30.91', 'pitch': '19.12', 'yaw': '-245.07', 'AccX': '-0.14', 'AccY': '-0.07', 'AccZ': '0.17', 'millis': '601212'}
77 DATA: {'roll': '9.00', 'pitch': '-8.60', 'yaw': '-234.61', 'AccX': '-0.16', 'AccY': '0.13', 'AccZ': '0.49', 'millis': '601412'}
78 DATA: {'roll': '5.75', 'pitch': '11.14', 'yaw': '-256.69', 'AccX': '-0.30', 'AccY': '0.04', 'AccZ': '0.99', 'millis': '601712'}
79 DATA: {'roll': '-18.37', 'pitch': '-4.89', 'yaw': '-264.49', 'AccX': '-0.82', 'AccY': '-0.19', 'AccZ': '0.42', 'millis': '601912'}
80 DATA: {'roll': '-24.68', 'pitch': '-31.57', 'yaw': '-270.03', 'AccX': '-0.41', 'AccY': '-0.59', 'AccZ': '0.90', 'millis': '602113'}
81 DATA: {'roll': '-9.62', 'pitch': '2.04', 'yaw': '-283.50', 'AccX': '-0.27', 'AccY': '-0.72', 'AccZ': '0.81', 'millis': '602312'}
82 DATA: {'roll': '-24.69', 'pitch': '5.44', 'yaw': '-319.04', 'AccX': '-0.05', 'AccY': '-0.48', 'AccZ': '0.28', 'millis': '12688'}
83 DATA: {'roll': '-82.45', 'pitch': '-2.76', 'yaw': '-310.82', 'AccX': '1.35', 'AccY': '-0.28', 'AccZ': '-0.41', 'millis': '602962'}
84 DATA: {'roll': '-19.62', 'pitch': '-27.29', 'yaw': '-305.29', 'AccX': '1.17', 'AccY': '-0.25', 'AccZ': '-0.14', 'millis': '13388'}
85 DATA: {'roll': '-11.18', 'pitch': '0.40', 'yaw': '-281.76', 'AccX': '1.05', 'AccY': '-0.26', 'AccZ': '-0.19', 'millis': '603812'}
86 DATA: {'roll': '28.66', 'pitch': '-4.18', 'yaw': '-260.86', 'AccX': '1.72', 'AccY': '-0.76', 'AccZ': '-0.45', 'millis': '604012'}
87 DATA: {'roll': '61.36', 'pitch': '37.86', 'yaw': '-201.03', 'AccX': '0.41', 'AccY': '-0.45', 'AccZ': '-0.59', 'millis': '604262'}
88 DATA: {'roll': '-9.40', 'pitch': '-6.62', 'yaw': '-176.54', 'AccX': '-0.32', 'AccY': '0.00', 'AccZ': '0.65', 'millis': '604463'}
89 DATA: {'roll': '-8.06', 'pitch': '-4.33', 'yaw': '-178.55', 'AccX': '-0.46', 'AccY': '-0.05', 'AccZ': '0.75', 'millis': '604712'}
90 DATA: {'roll': '-2.49', 'pitch': '-6.04', 'yaw': '-187.38', 'AccX': '-0.62', 'AccY': '-0.13', 'AccZ': '0.50', 'millis': '604912'}
91 DATA: {'roll': '-16.75', 'pitch': '-52.27', 'yaw': '-233.97', 'AccX': '-0.05', 'AccY': '-0.66', 'AccZ': '1.16', 'millis': '605212'}
92 DATA: {'roll': '-14.96', 'pitch': '-4.87', 'yaw': '-245.62', 'AccX': '0.06', 'AccY': '-0.44', 'AccZ': '0.70', 'millis': '605412'}
93 DATA: {'roll': '-40.20', 'pitch': '-7.66', 'yaw': '-299.64', 'AccX': '0.64', 'AccY': '-0.36', 'AccZ': '-0.14', 'millis': '605663'}
94 DATA: {'roll': '-44.30', 'pitch': '-8.59', 'yaw': '-307.92', 'AccX': '1.40', 'AccY': '-0.46', 'AccZ': '-0.17', 'millis': '605913'}
95 DATA: {'roll': '9.41', 'pitch': '-1.59', 'yaw': '-303.55', 'AccX': '1.07', 'AccY': '-0.31', 'AccZ': '-0.15', 'millis': '16389'}
96 DATA: {'roll': '54.24', 'pitch': '-6.55', 'yaw': '-238.53', 'AccX': '1.55', 'AccY': '-0.94', 'AccZ': '0.00', 'millis': '606862'}
97 DATA: {'roll': '63.48', 'pitch': '30.22', 'yaw': '-166.74', 'AccX': '0.29', 'AccY': '-0.26', 'AccZ': '-0.18', 'millis': '17339'}
98 DATA: {'roll': '7.80', 'pitch': '9.09', 'yaw': '-182.73', 'AccX': '-0.48', 'AccY': '-0.22', 'AccZ': '0.75', 'millis': '607663'}
99 DATA: {'roll': '-5.22', 'pitch': '3.36', 'yaw': '-202.37', 'AccX': '-0.79', 'AccY': '-0.16', 'AccZ': '0.39', 'millis': '607862'}
100 DATA: {'roll': '-22.13', 'pitch': '-29.09', 'yaw': '-211.68', 'AccX': '-0.47', 'AccY': '-0.86', 'AccZ': '0.83', 'millis': '608062'}
101 DATA: {'roll': '-5.53', 'pitch': '-20.18', 'yaw': '-231.69', 'AccX': '-0.16', 'AccY': '-0.64', 'AccZ': '0.64', 'millis': '608313'}
