212338
66 DATA: {'roll': '51.96', 'pitch': '37.97', 'yaw': '-182.30', 'AccX': '-0.98', 'AccY': '0.05', 'AccZ': '0.93', 'millis': '241501'}
67 DATA: {'roll': '36.35', 'pitch': '9.50', 'yaw': '-206.12', 'AccX': '-0.82', 'AccY': '-0.28', 'AccZ': '0.22', 'millis': '241801'}
68 DATA: {'roll': '-8.20', 'pitch': '0.70', 'yaw': '-197.49', 'AccX': '-0.46', 'AccY': '-0.65', 'AccZ': '0.08', 'millis': '242101'}
69 DATA: {'roll': '-27.99', 'pitch': '-10.20', 'yaw': '-178.97', 'AccX': '-0.82', 'AccY': '-0.13', 'AccZ': '0.38', 'millis': '-19793'}
70 DATA: {'roll': '69.73', 'pitch': '-57.98', 'yaw': '288.35', 'AccX': '-0.61', 'AccY': '-0.03', 'AccZ': '0.39', 'millis': '243400'}
71 DATA: {'roll': '19.80', 'pitch': '-42.70', 'yaw': '232.71', 'AccX': '0.26', 'AccY': '-0.40', 'AccZ': '0.61', 'millis': '243650'}
72 DATA: {'roll': '15.18', 'pitch': '-67.25', 'yaw': '211.34', 'AccX': '1.40', 'AccY': '-0.18', 'AccZ': '0.19', 'millis': '-18243'}
73 DATA: {'roll': '18.62', 'pitch': '1.28', 'yaw': '322.85', 'AccX': '0.67', 'AccY': '-0.74', 'AccZ': '0.11', 'millis': '244501'}
74 DATA: {'roll': '29.11', 'pitch': '26.94', 'yaw': '-318.31', 'AccX': '0.15', 'AccY': '-0.70', 'AccZ': '0.30', 'millis': '244701'}
75 DATA: {'roll': '22.42', 'pitch': '22.91', 'yaw': '327.46', 'AccX': '-0.23', 'AccY': '-0.83', 'AccZ': '0.45', 'millis': '244900'}
76 DATA: {'roll': '37.20', 'pitch': '21.07', 'yaw': '322.35', 'AccX': '-0.71', 'AccY': '-0.39', 'AccZ': '0.47', 'millis': '245100'}
77 DATA: {'roll': '29.08', 'pitch': '15.54', 'yaw': '309.59', 'AccX': '-0.89', 'AccY': '0.13', 'AccZ': '1.03', 'millis': '245450'}
78 DATA: {'roll': '32.18', 'pitch': '26.35', 'yaw': '288.84', 'AccX': '-1.05', 'AccY': '-0.11', 'AccZ': '0.35', 'millis': '245700'}
79 DATA: {'roll': '13.63', 'pitch': '3.76', 'yaw': '274.33', 'AccX': '-0.67', 'AccY': '-0.34', 'AccZ': '0.14', 'millis': '245901'}
80 DATA: {'roll': '-9.80', 'pitch': '-2.08', 'yaw': '285.54', 'AccX': '-0.52', 'AccY': '-0.57', 'AccZ': '0.10', 'millis': '246153'}
81 DATA: {'roll': '-29.43', 'pitch': '-23.88', 'yaw': '312.40', 'AccX': '-1.14', 'AccY': '0.02', 'AccZ': '0.37', 'millis': '-15693'}
82 DATA: {'roll': '-29.25', 'pitch': '322.76', 'yaw': '9.87', 'AccX': '1.56', 'AccY': '-0.65', 'AccZ': '0.32', 'millis': '247751'}
83 DATA: {'roll': '60.14', 'pitch': '-47.68', 'yaw': '7.48', 'AccX': '1.22', 'AccY': '-0.30', 'AccZ': '0.02', 'millis': '248001'}
84 DATA: {'roll': '14.21', 'pitch': '-10.24', 'yaw': '32.27', 'AccX': '1.34', 'AccY': '-0.39', 'AccZ': '-0.32', 'millis': '-13943'}
85 DATA: {'roll': '102.47', 'pitch': '100.11', 'yaw': '6.42', 'AccX': '-0.22', 'AccY': '-0.42', 'AccZ': '0.48', 'millis': '248751'}
86 DATA: {'roll': '10.94', 'pitch': '20.64', 'yaw': '-2.40', 'AccX': '-0.68', 'AccY': '-0.31', 'AccZ': '0.40', 'millis': '-13193'}
87 DATA: {'roll': '98.76', 'pitch': '49.83', 'yaw': '-15.00', 'AccX': '-1.02', 'AccY': '-0.28', 'AccZ': '0.29', 'millis': '-12594'}
88 DATA: {'roll': '-63.05', 'pitch': '-45.37', 'yaw': '-6.66', 'AccX': '-0.98', 'AccY': '0.26', 'AccZ': '0.79', 'millis': '250551'}
89 DATA: {'roll': '-313.74', 'pitch': '284.23', 'yaw': '94.41', 'AccX': '0.22', 'AccY': '-0.61', 'AccZ': '0.19', 'millis': '252199'}
90 DATA: {'roll': '25.80', 'pitch': '22.87', 'yaw': '85.90', 'AccX': '-0.60', 'AccY': '-0.26', 'AccZ': '0.49', 'millis': '252401'}
91 DATA: {'roll': '17.31', 'pitch': '7.17', 'yaw': '76.34', 'AccX': '-0.69', 'AccY': '-0.27', 'AccZ': '0.51', 'millis': '252601'}
92 DATA: {'roll': '5.11', 'pitch': '-0.69', 'yaw': '74.35', 'AccX': '-0.81', 'AccY': '-0.37', 'AccZ': '0.61', 'millis': '252801'}
93 DATA: {'roll': '21.58', 'pitch': '7.62', 'yaw': '69.82', 'AccX': '-1.16', 'AccY': '0.55', 'AccZ': '0.91', 'millis': '253051'}
94 DATA: {'roll': '74.91', 'pitch': '9.40', 'yaw': '44.07', 'AccX': '-0.77', 'AccY': '-0.18', 'AccZ': '0.26', 'millis': '253351'}
95 DATA: {'roll': '-10.29', 'pitch': '6.44', 'yaw': '45.05', 'AccX': '-0.17', 'AccY': '-0.85', 'AccZ': '0.19', 'millis': '253551'}
96 DATA: {'roll': '-33.46', 'pitch': '-4.82', 'yaw': '73.03', 'AccX': '-0.77', 'AccY': '-0.17', 'AccZ': '0.22', 'millis': '-8343'}
97 DATA: {'roll': '10.32', 'pitch': '-1.39', 'yaw': '78.42', 'AccX': '-0.77', 'AccY': '0.06', 'AccZ': '0.54', 'millis': '254351'}
98 DATA: {'roll': '18.59', 'pitch': '5.54', 'yaw': '68.93', 'AccX': '-0.79', 'AccY': '0.53', 'AccZ': '0.57', 'millis': '254551'}
99 DATA: {'roll': '22.09', 'pitch': '-13.82', 'yaw': '11.88', 'AccX': '-0.34', 'AccY': '0.07', 'AccZ': '0.26', 'millis': '254801'}
100 DATA: {'roll': '52.57', 'pitch': '-83.58', 'yaw': '10.37', 'AccX': '1.65', 'AccY': '-0.77', 'AccZ': '-0.08', 'millis': '255151'}
101 DATA: {'roll': '49.18', 'pitch': '-19.39', 'yaw': '19.50', 'AccX': '1.37', 'AccY': '-0.64', 'AccZ': '-0.58', 'millis': '255351'}
102 DATA: {'roll': '37.14', 'pitch': '3.03', 'yaw': '56.12', 'AccX': '1.02', 'AccY': '-0.81', 'AccZ': '-0.16', 'millis': '255551'}
103 DATA: {'roll': '52.45', 'pitch': '47.87', 'yaw': '50.92', 'AccX': '-0.20', 'AccY': '-0.44', 'AccZ': '0.31', 'millis': '255801'}
104 DATA: {'roll': '30.12', 'pitch': '17.51', 'yaw': '44.21', 'AccX': '-0.61', 'AccY': '-0.44', 'AccZ': '0.38', 'millis': '256001'}
105 DATA: {'roll': '22.50', 'pitch': '4.25', 'yaw': '37.81', 'AccX': '-0.77', 'AccY': '-0.45', 'AccZ': '0.45', 'millis': '256201'}
106 DATA: {'roll': '10.96', 'pitch': '-2.55', 'yaw': '39.72', 'AccX': '-0.89', 'AccY': '0.03', 'AccZ': '0.82', 'millis': '256401'}
107 DATA: {'roll': '20.52', 'pitch': '14.17', 'yaw': '18.38', 'AccX': '-1.01', 'AccY': '0.05', 'AccZ': '0.70', 'millis': '256601'}
108 DATA: {'roll': '16.36', 'pitch': '-6.05', 'yaw': '-6.48', 'AccX': '-0.33', 'AccY': '-0.38', 'AccZ': '0.27', 'millis': '256901'}
109 DATA: {'roll': '-27.40', 'pitch': '323.27', 'yaw': '-140.28', 'AccX': '1.52', 'AccY': '-0.57', 'AccZ': '0.56', 'millis': '-3645'}
110 DATA: {'roll': '62.21', 'pitch': '-10.50', 'yaw': '-43.77', 'AccX': '1.33', 'AccY': '-0.57', 'AccZ': '-0.45', 'millis': '259101'}
111 DATA: {'roll': '46.77', 'pitch': '20.87', 'yaw': '1.45', 'AccX': '0.58', 'AccY': '-0.87', 'AccZ': '0.20', 'millis': '259351'}
112 DATA: {'roll': '44.27', 'pitch': '46.13', 'yaw': '-11.76', 'AccX': '-0.32', 'AccY': '-0.28', 'AccZ': '0.31', 'millis': '259551'}
113 DATA: {'roll': '29.76', 'pitch': '3.82', 'yaw': '-17.95', 'AccX': '-0.77', 'AccY': '-0.28', 'AccZ': '0.41', 'millis': '259851'}
114 DATA: {'roll': '1.36', 'pitch': '-2.45', 'yaw': '-21.88', 'AccX': '-0.90', 'AccY': '-0.07', 'AccZ': '0.73', 'millis': '260051'}
115 DATA: {'roll': '23.62', 'pitch': '5.07', 'yaw': '-50.63', 'AccX': '-1.01', 'AccY': '0.12', 'AccZ': '0.60', 'millis': '260301'}
116 DATA: {'roll': '2.93', 'pitch': '-14.09', 'yaw': '-86.07', 'AccX': '-0.32', 'AccY': '-0.28', 'AccZ': '0.39', 'millis': '260551'}
117 DATA: {'roll': '2.70', 'pitch': '6.27', 'yaw': '-71.82', 'AccX': '-0.46', 'AccY': '-0.47', 'AccZ': '0.14', 'millis': '260751'}
118 DATA: {'roll': '-17.80', 'pitch': '-1.27', 'yaw': '-49.56', 'AccX': '-0.70', 'AccY': '-0.16', 'AccZ': '0.45', 'millis': '260952'}
119 DATA: {'roll': '-38.29', 'pitch': '-20.42', 'yaw': '-42.06', 'AccX': '-0.92', 'AccY': '0.50', 'AccZ': '0.91', 'millis': '261252'}
120 DATA: {'roll': '-1.37', 'pitch': '-4.88', 'yaw': '-40.24', 'AccX': '-0.70', 'AccY': '0.03', 'AccZ': '0.73', 'millis': '261450'}
121 DATA: {'roll': '12.52', 'pitch': '6.64', 'yaw': '-48.34', 'AccX': '-0.71', 'AccY': '0.25', 'AccZ': '0.76', 'millis': '261701'}
122 DATA: {'roll': '15.43', 'pitch': '-8.36', 'yaw': '-78.67', 'AccX': '-0.59', 'AccY': '0.28', 'AccZ': '0.43', 'millis': '261901'}
123 DATA: {'roll': '5.15', 'pitch': '-40.98', 'yaw': '-124.43', 'AccX': '-0.15', 'AccY': '-0.17', 'AccZ': '0.46', 'millis': '262102'}
124 DATA: {'roll': '12.62', 'pitch': '-65.30', 'yaw': '-145.50', 'AccX': '1.58', 'AccY': '-0.50', 'AccZ': '0.28', 'millis': '262351'}
125 DATA: {'roll': '62.77', 'pitch': '-13.62', 'yaw': '-143.25', 'AccX': '1.27', 'AccY': '-0.06', 'AccZ': '-0.14', 'millis': '262601'}
126 DATA: {'roll': '30.92', 'pitch': '2.63', 'yaw': '-101.43', 'AccX': '1.29', 'AccY': '-0.66', 'AccZ': '-0.22', 'millis': '262851'}
127 DATA: {'roll': '39.31', 'pitch': '44.85', 'yaw': '-92.93', 'AccX': '0.45', 'AccY': '-0.26', 'AccZ': '0.55', 'millis': '263101'}
128 DATA: {'roll': '33.99', 'pitch': '38.35', 'yaw': '-106.67', 'AccX': '-0.41', 'AccY': '-0.23', 'AccZ': '0.51', 'millis': '263301'}
129 DATA: {'roll': '18.26', 'pitch': '11.26', 'yaw': '-122.55', 'AccX': '-0.66', 'AccY': '-0.37', 'AccZ': '0.59', 'millis': '1357'}
130 DATA: {'roll': '98.69', 'pitch': '48.21', 'yaw': '-162.98', 'AccX': '-0.92', 'AccY': '-0.08', 'AccZ': '0.54', 'millis': '264152'}
