901410
61 DATA: {'roll': '-0.94', 'pitch': '31.04', 'yaw': '158.98', 'AccX': '-0.54', 'AccY': '-0.36', 'AccZ': '-0.15', 'millis': '519'}
62 DATA: {'roll': '17.75', 'pitch': '-51.87', 'yaw': '180.10', 'AccX': '-0.23', 'AccY': '-0.71', 'AccZ': '-1.05', 'millis': '918573'}
63 DATA: {'roll': '3.29', 'pitch': '-34.59', 'yaw': '184.22', 'AccX': '-0.55', 'AccY': '-0.41', 'AccZ': '-0.13', 'millis': '918822'}
64 DATA: {'roll': '-7.36', 'pitch': '-29.76', 'yaw': '184.00', 'AccX': '-0.82', 'AccY': '-0.26', 'AccZ': '0.48', 'millis': '919022'}
65 DATA: {'roll': '13.41', 'pitch': '-13.09', 'yaw': '187.37', 'AccX': '-0.77', 'AccY': '-0.59', 'AccZ': '0.22', 'millis': '919222'}
66 DATA: {'roll': '8.90', 'pitch': '-4.19', 'yaw': '197.18', 'AccX': '-0.67', 'AccY': '-0.21', 'AccZ': '0.27', 'millis': '1918'}
67 DATA: {'roll': '-4.99', 'pitch': '5.56', 'yaw': '181.63', 'AccX': '-1.25', 'AccY': '-0.22', 'AccZ': '0.44', 'millis': '919872'}
68 DATA: {'roll': '6.31', 'pitch': '-2.32', 'yaw': '183.94', 'AccX': '-1.10', 'AccY': '-0.10', 'AccZ': '0.42', 'millis': '920072'}
69 DATA: {'roll': '-0.43', 'pitch': '1.18', 'yaw': '181.35', 'AccX': '-1.01', 'AccY': '-0.24', 'AccZ': '0.36', 'millis': '920272'}
70 DATA: {'roll': '3.94', 'pitch': '0.34', 'yaw': '190.04', 'AccX': '-1.25', 'AccY': '-0.11', 'AccZ': '0.39', 'millis': '920472'}
71 DATA: {'roll': '-3.56', 'pitch': '-1.97', 'yaw': '182.45', 'AccX': '-0.61', 'AccY': '-0.22', 'AccZ': '0.27', 'millis': '920772'}
72 DATA: {'roll': '-17.57', 'pitch': '-1.90', 'yaw': '178.84', 'AccX': '-0.72', 'AccY': '-0.25', 'AccZ': '0.21', 'millis': '920972'}
73 DATA: {'roll': '-2.69', 'pitch': '26.47', 'yaw': '172.76', 'AccX': '-0.70', 'AccY': '-0.62', 'AccZ': '0.42', 'millis': '921172'}
74 DATA: {'roll': '-3.00', 'pitch': '26.50', 'yaw': '163.66', 'AccX': '-0.55', 'AccY': '-0.37', 'AccZ': '-0.35', 'millis': '921372'}
75 DATA: {'roll': '-6.50', 'pitch': '16.73', 'yaw': '153.22', 'AccX': '-0.34', 'AccY': '-0.54', 'AccZ': '-0.88', 'millis': '921572'}
76 DATA: {'roll': '6.85', 'pitch': '-9.52', 'yaw': '156.31', 'AccX': '-0.31', 'AccY': '-0.88', 'AccZ': '-1.13', 'millis': '921773'}
77 DATA: {'roll': '-10.82', 'pitch': '-45.48', 'yaw': '173.37', 'AccX': '-0.39', 'AccY': '-0.33', 'AccZ': '-0.41', 'millis': '922073'}
78 DATA: {'roll': '-23.61', 'pitch': '-13.20', 'yaw': '171.55', 'AccX': '-0.75', 'AccY': '-0.01', 'AccZ': '0.53', 'millis': '922322'}
79 DATA: {'roll': '3.93', 'pitch': '-1.76', 'yaw': '168.26', 'AccX': '-0.86', 'AccY': '-0.04', 'AccZ': '0.20', 'millis': '922522'}
80 DATA: {'roll': '19.90', 'pitch': '-15.01', 'yaw': '178.87', 'AccX': '-0.62', 'AccY': '-0.10', 'AccZ': '0.26', 'millis': '5268'}
81 DATA: {'roll': '10.55', 'pitch': '2.69', 'yaw': '192.01', 'AccX': '-0.92', 'AccY': '-0.34', 'AccZ': '0.36', 'millis': '923372'}
82 DATA: {'roll': '0.22', 'pitch': '3.57', 'yaw': '205.16', 'AccX': '-1.29', 'AccY': '-0.25', 'AccZ': '0.39', 'millis': '923623'}
83 DATA: {'roll': '6.39', 'pitch': '4.64', 'yaw': '202.32', 'AccX': '-0.75', 'AccY': '-0.34', 'AccZ': '0.20', 'millis': '923823'}
84 DATA: {'roll': '-17.67', 'pitch': '1.42', 'yaw': '186.12', 'AccX': '-0.42', 'AccY': '-0.32', 'AccZ': '0.09', 'millis': '924022'}
85 DATA: {'roll': '-120.68', 'pitch': '-37.15', 'yaw': '124.48', 'AccX': '-1.39', 'AccY': '-0.51', 'AccZ': '0.27', 'millis': '8317'}
86 DATA: {'roll': '-13.35', 'pitch': '-28.65', 'yaw': '77.25', 'AccX': '-1.34', 'AccY': '-0.14', 'AccZ': '0.70', 'millis': '926473'}
87 DATA: {'roll': '-0.42', 'pitch': '-0.05', 'yaw': '78.10', 'AccX': '-0.88', 'AccY': '-0.24', 'AccZ': '0.41', 'millis': '926672'}
88 DATA: {'roll': '-2.30', 'pitch': '1.84', 'yaw': '78.62', 'AccX': '-1.15', 'AccY': '-0.13', 'AccZ': '0.53', 'millis': '926872'}
89 DATA: {'roll': '5.23', 'pitch': '1.97', 'yaw': '81.34', 'AccX': '-1.28', 'AccY': '-0.07', 'AccZ': '0.47', 'millis': '927073'}
90 DATA: {'roll': '3.87', 'pitch': '-6.37', 'yaw': '79.70', 'AccX': '-0.63', 'AccY': '-0.24', 'AccZ': '0.39', 'millis': '927272'}
91 DATA: {'roll': '-18.52', 'pitch': '7.64', 'yaw': '72.85', 'AccX': '-0.50', 'AccY': '-0.25', 'AccZ': '0.10', 'millis': '927472'}
92 DATA: {'roll': '-11.26', 'pitch': '-2.68', 'yaw': '64.01', 'AccX': '-0.91', 'AccY': '-0.09', 'AccZ': '0.53', 'millis': '927673'}
93 DATA: {'roll': '19.74', 'pitch': '21.43', 'yaw': '60.80', 'AccX': '-0.70', 'AccY': '-0.37', 'AccZ': '0.19', 'millis': '10369'}
94 DATA: {'roll': '-9.14', 'pitch': '12.94', 'yaw': '39.00', 'AccX': '-0.28', 'AccY': '-0.73', 'AccZ': '-1.09', 'millis': '928372'}
95 DATA: {'roll': '1.49', 'pitch': '-18.07', 'yaw': '44.61', 'AccX': '-0.24', 'AccY': '-0.87', 'AccZ': '-1.25', 'millis': '928573'}
96 DATA: {'roll': '-10.03', 'pitch': '-31.46', 'yaw': '52.18', 'AccX': '-0.39', 'AccY': '-0.51', 'AccZ': '-0.48', 'millis': '928773'}
97 DATA: {'roll': '-0.18', 'pitch': '-30.69', 'yaw': '63.44', 'AccX': '-0.74', 'AccY': '-0.21', 'AccZ': '0.29', 'millis': '928972'}
98 DATA: {'roll': '-31.36', 'pitch': '10.64', 'yaw': '57.43', 'AccX': '-0.99', 'AccY': '-0.15', 'AccZ': '0.67', 'millis': '929222'}
99 DATA: {'roll': '0.65', 'pitch': '-3.42', 'yaw': '56.08', 'AccX': '-0.70', 'AccY': '-0.23', 'AccZ': '0.23', 'millis': '929423'}
100 DATA: {'roll': '0.39', 'pitch': '3.52', 'yaw': '61.32', 'AccX': '-0.53', 'AccY': '0.04', 'AccZ': '0.09', 'millis': '929623'}
101 DATA: {'roll': '-2.89', 'pitch': '-0.92', 'yaw': '56.02', 'AccX': '-1.00', 'AccY': '-0.11', 'AccZ': '0.37', 'millis': '929822'}
