736155
94 DATA: {'roll': '-0.08', 'pitch': '-0.85', 'yaw': '118.18', 'AccX': '-0.41', 'AccY': '-0.06', 'AccZ': '0.93', 'millis': '772968'}
95 DATA: {'roll': '0.73', 'pitch': '-2.03', 'yaw': '116.22', 'AccX': '-0.64', 'AccY': '0.03', 'AccZ': '0.94', 'millis': '773168'}
96 DATA: {'roll': '-8.43', 'pitch': '-6.46', 'yaw': '113.62', 'AccX': '-0.46', 'AccY': '0.04', 'AccZ': '0.72', 'millis': '773417'}
97 DATA: {'roll': '-47.09', 'pitch': '-9.02', 'yaw': '104.73', 'AccX': '-0.09', 'AccY': '-0.30', 'AccZ': '0.54', 'millis': '773617'}
98 DATA: {'roll': '-66.96', 'pitch': '-8.22', 'yaw': '86.46', 'AccX': '0.30', 'AccY': '-0.92', 'AccZ': '-0.63', 'millis': '773918'}
99 DATA: {'roll': '-17.91', 'pitch': '12.97', 'yaw': '80.36', 'AccX': '0.16', 'AccY': '-0.74', 'AccZ': '-1.09', 'millis': '774118'}
100 DATA: {'roll': '0.35', 'pitch': '-18.82', 'yaw': '89.18', 'AccX': '0.73', 'AccY': '-0.22', 'AccZ': '-0.70', 'millis': '774368'}
101 DATA: {'roll': '-1.88', 'pitch': '-4.43', 'yaw': '74.16', 'AccX': '0.64', 'AccY': '-0.16', 'AccZ': '-0.76', 'millis': '774618'}
102 DATA: {'roll': '7.96', 'pitch': '-12.17', 'yaw': '85.20', 'AccX': '0.39', 'AccY': '-0.39', 'AccZ': '-1.09', 'millis': '-11565'}
103 DATA: {'roll': '7.31', 'pitch': '-9.30', 'yaw': '72.34', 'AccX': '0.42', 'AccY': '-0.48', 'AccZ': '-0.97', 'millis': '775468'}
104 DATA: {'roll': '52.53', 'pitch': '-14.17', 'yaw': '84.43', 'AccX': '0.37', 'AccY': '-0.89', 'AccZ': '-0.83', 'millis': '775768'}
105 DATA: {'roll': '42.34', 'pitch': '-1.14', 'yaw': '104.08', 'AccX': '0.33', 'AccY': '-1.06', 'AccZ': '-0.06', 'millis': '-10465'}
106 DATA: {'roll': '15.13', 'pitch': '-6.02', 'yaw': '106.59', 'AccX': '-0.48', 'AccY': '0.11', 'AccZ': '0.71', 'millis': '776418'}
107 DATA: {'roll': '6.45', 'pitch': '-4.93', 'yaw': '95.52', 'AccX': '-0.92', 'AccY': '0.24', 'AccZ': '0.70', 'millis': '776617'}
108 DATA: {'roll': '-7.51', 'pitch': '-14.83', 'yaw': '94.17', 'AccX': '0.68', 'AccY': '-0.18', 'AccZ': '1.26', 'millis': '776817'}
109 DATA: {'roll': '-0.86', 'pitch': '-5.29', 'yaw': '102.25', 'AccX': '-1.03', 'AccY': '0.18', 'AccZ': '0.91', 'millis': '777118'}
110 DATA: {'roll': '-1.39', 'pitch': '-4.20', 'yaw': '89.44', 'AccX': '-0.54', 'AccY': '-0.02', 'AccZ': '0.77', 'millis': '777318'}
111 DATA: {'roll': '-9.24', 'pitch': '0.81', 'yaw': '102.53', 'AccX': '-0.54', 'AccY': '-0.05', 'AccZ': '0.93', 'millis': '777618'}
112 DATA: {'roll': '1.41', 'pitch': '-0.28', 'yaw': '100.48', 'AccX': '-0.60', 'AccY': '-0.01', 'AccZ': '0.92', 'millis': '777818'}
113 DATA: {'roll': '-2.57', 'pitch': '-1.79', 'yaw': '101.48', 'AccX': '-0.48', 'AccY': '0.00', 'AccZ': '0.78', 'millis': '778017'}
114 DATA: {'roll': '-23.98', 'pitch': '-3.99', 'yaw': '98.08', 'AccX': '-0.42', 'AccY': '-0.21', 'AccZ': '0.63', 'millis': '778218'}
115 DATA: {'roll': '-47.76', 'pitch': '-10.70', 'yaw': '79.04', 'AccX': '-0.10', 'AccY': '-0.48', 'AccZ': '0.36', 'millis': '778418'}
116 DATA: {'roll': '-23.05', 'pitch': '16.71', 'yaw': '63.93', 'AccX': '0.46', 'AccY': '-1.11', 'AccZ': '-0.74', 'millis': '778618'}
117 DATA: {'roll': '-30.10', 'pitch': '5.05', 'yaw': '68.93', 'AccX': '0.06', 'AccY': '-1.02', 'AccZ': '-0.86', 'millis': '778917'}
118 DATA: {'roll': '-12.02', 'pitch': '-10.89', 'yaw': '75.03', 'AccX': '0.66', 'AccY': '-0.26', 'AccZ': '-0.48', 'millis': '779118'}
119 DATA: {'roll': '-4.19', 'pitch': '-5.74', 'yaw': '66.63', 'AccX': '0.71', 'AccY': '-0.16', 'AccZ': '-0.69', 'millis': '-7114'}
120 DATA: {'roll': '-28.57', 'pitch': '31.18', 'yaw': '14.59', 'AccX': '0.27', 'AccY': '-0.44', 'AccZ': '-0.79', 'millis': '780067'}
121 DATA: {'roll': '3.83', 'pitch': '-9.28', 'yaw': '15.89', 'AccX': '0.56', 'AccY': '-0.42', 'AccZ': '-0.82', 'millis': '-6114'}
122 DATA: {'roll': '130.18', 'pitch': '5.43', 'yaw': '75.88', 'AccX': '-0.09', 'AccY': '-0.55', 'AccZ': '0.31', 'millis': '780868'}
123 DATA: {'roll': '7.51', 'pitch': '-4.67', 'yaw': '77.98', 'AccX': '-0.58', 'AccY': '0.00', 'AccZ': '0.62', 'millis': '781118'}
124 DATA: {'roll': '-0.05', 'pitch': '-2.37', 'yaw': '74.23', 'AccX': '-0.70', 'AccY': '-0.04', 'AccZ': '0.78', 'millis': '781318'}
125 DATA: {'roll': '6.24', 'pitch': '-14.66', 'yaw': '61.11', 'AccX': '-0.45', 'AccY': '-0.23', 'AccZ': '0.76', 'millis': '781568'}
126 DATA: {'roll': '-10.23', 'pitch': '1.98', 'yaw': '71.52', 'AccX': '-0.65', 'AccY': '-0.01', 'AccZ': '0.72', 'millis': '781817'}
127 DATA: {'roll': '1.71', 'pitch': '5.11', 'yaw': '65.49', 'AccX': '-1.05', 'AccY': '0.14', 'AccZ': '0.74', 'millis': '782018'}
128 DATA: {'roll': '-6.20', 'pitch': '-6.97', 'yaw': '57.33', 'AccX': '-0.03', 'AccY': '-0.24', 'AccZ': '0.87', 'millis': '782218'}
129 DATA: {'roll': '-3.06', 'pitch': '1.34', 'yaw': '64.84', 'AccX': '-0.40', 'AccY': '-0.08', 'AccZ': '0.84', 'millis': '782417'}
130 DATA: {'roll': '-3.09', 'pitch': '-0.94', 'yaw': '65.80', 'AccX': '-0.83', 'AccY': '0.03', 'AccZ': '0.89', 'millis': '782618'}
131 DATA: {'roll': '-25.91', 'pitch': '-8.05', 'yaw': '64.22', 'AccX': '-0.50', 'AccY': '-0.08', 'AccZ': '0.63', 'millis': '782918'}
132 DATA: {'roll': '-35.39', 'pitch': '-7.37', 'yaw': '50.07', 'AccX': '-0.26', 'AccY': '-0.45', 'AccZ': '0.54', 'millis': '783118'}
133 DATA: {'roll': '-49.24', 'pitch': '0.86', 'yaw': '23.17', 'AccX': '0.00', 'AccY': '-0.88', 'AccZ': '-0.02', 'millis': '783318'}
134 DATA: {'roll': '-15.21', 'pitch': '6.81', 'yaw': '12.07', 'AccX': '0.46', 'AccY': '-0.79', 'AccZ': '-0.75', 'millis': '783518'}
135 DATA: {'roll': '-12.43', 'pitch': '7.96', 'yaw': '4.43', 'AccX': '0.52', 'AccY': '-0.56', 'AccZ': '-1.07', 'millis': '783718'}
